Episode,D-PER-DDQN,PER-DDQN,MS-DDQN
0,-1246.9234757745617,-954,-1470.8315490253544
1,-989.9247140875004,-375,-1291.6819137518632
2,-1345.812676313241,-2000,-2000.0
3,-1031.5454776314984,-808,-2000.0
4,-2000.0,-942,-1894.3775210499891
5,-2000.0,-266,-2000.0
6,-2000.0,-1797,-2000.0
7,-1636.015487970577,-1425,-1623.384424218778
8,-937.4208544740528,-662,-1334.567052371974
9,35.465938610103485,-998,-258.4367251743443
10,-64.36451151962873,-1851,-1395.4198807628557
11,-160.55439264185014,-318,-1285.2692303242663
12,147.2866239589303,-529,-631.448288325794
13,108.54348915819341,-324,-570.3983648964138
14,-133.68327730580833,-759,-529.8085709721643
15,-30.879202985726124,-515,-849.8582460496871
16,26.592684854290553,-1065,-405.4122784293401
17,145.04308847640456,-130,-210.00151862176716
18,93.1671300301364,-209,-1679.6962685141882
19,138.411662630854,-153,-758.7472008647838
20,67.67543279697213,-403,-719.6003060969039
21,141.04818103393353,-682,-621.8884911814458
22,-32.34675073867405,-288,-1087.9806270881672
23,-31.18385348031336,-145,-266.56716283889364
24,192.88739927886186,-271,-773.6672189357505
25,34.25294895264527,-425,-406.43251467848086
26,138.10632834216852,-536,-269.2517581046755
27,228.9494453118263,-266,-523.022070153734
28,166.06054925432136,-346,-173.1358729170527
29,177.27543177115518,-152,-1000.033831809096
30,54.093690667287724,-532,-287.9446105491599
31,-7.89104927176691,-121,-770.3402820800737
32,-43.486776812820494,-135,-423.8654548299179
33,-274.0075866279408,-162,-462.3314504030896
34,-13.243935277230364,-173,-502.4376321829975
35,-103.56091208459048,-563,-397.9410656183945
36,-515.1964858079252,-235,-255.20716658571604
37,44.644461045167894,-429,-343.4766433208788
38,122.40865976822695,-269,-221.2874103197632
39,-138.25340616987032,-119,-166.88644987306
40,142.1157846753773,-109,-316.90749058918425
41,196.21313848802657,-473,-214.04524516593378
42,61.89169660093089,-519,-128.97762084409496
43,-89.49263436149235,-133,-298.15761626754875
44,199.04480652552596,-232,-318.7468254397397
45,82.37209486308558,-209,-431.8313490824334
46,181.42087797619678,-74,-174.26885210957656
47,40.71245290612159,-354,-329.81157959228153
48,202.42196278832034,-541,-450.1433851871135
49,25.718668134881142,-383,-248.53560777863368
50,159.13002504328574,-294,-385.35739527120205
51,159.4953415737318,-62,-463.691633078506
52,104.78928030997224,-553,-1093.767926588933
53,193.0721477667203,-183,-198.2181404572508
54,65.60556453692615,-136,-184.6259677510317
55,233.31743671433605,-137,-1341.3297763782148
56,214.92292128536914,-411,-325.5045068882747
57,219.9383781693701,-56,-83.03839304746813
58,193.22826291991498,-388,-147.5877719972713
59,3.0273912402402985,-60,-539.0604441083034
60,139.9433630351927,-211,-773.2176092683635
61,171.07151497753887,-650,-433.36447446034265
62,173.26983567446396,-72,-246.07604651905473
63,191.18125555268156,-125,-719.0005944993342
64,113.90023148372177,-45,-357.3225953250195
65,160.63265326318339,-315,-162.19038782485111
66,166.6901378321588,-87,-258.66892157610613
67,203.0829747456027,-660,-205.19526291442253
68,171.46250958374935,-96,-986.1958231358454
69,221.03715118026778,-75,-917.3363865340893
70,156.35763407637825,-211,-309.87155995639665
71,154.61941477958032,-382,-300.7695903547189
72,157.64504107717704,-85,-196.55910707620893
73,176.16946176594448,-581,-414.04081717801665
74,200.42398715284682,-139,-259.0600514549624
75,212.2776814077781,-257,-148.86716810793789
76,157.78326515232237,-121,-139.69322810326153
77,218.93324162246492,6,-207.10066423058865
78,109.17900242449417,-125,-103.90746536873073
79,207.60897004776515,4,-492.7008999090642
80,50.62636403226587,-159,-241.8481399805675
81,169.41579844138886,-142,-86.23240174398539
82,179.77870199859876,-28,-144.0212866647538
83,239.0,-83,-75.35888570515124
84,186.0121896551697,-241,-440.2863318389515
85,183.83993173336242,-199,-386.22278093133605
86,188.76315385792168,-891,-520.2817951567832
87,254.15072260919587,-54,-81.22382271784275
88,154.353461039266,-204,-226.54767442028748
89,250.02652657035378,-24,-116.79880965208773
90,202.3063578518748,-37,-99.66312956604499
91,167.41324467294325,-98,-474.5915260982297
92,213.25420872355127,-20,-144.72307430931286
93,235.42129349456545,-234,-216.9899053576058
94,217.67829915647494,-30,-303.19845810735865
95,187.9981105243126,-125,-89.44006085921932
96,228.49417941846428,-6,-81.31370401319859
97,236.21854415126694,-23,-176.28524655920464
98,221.4179279003854,-5,-168.5463504345472
99,266.971511893707,-305,-135.14396083612064
100,215.30951894845302,-107,-203.68438264861916
101,204.6658467953559,-12,-85.16129746019345
102,211.8834349901029,-98,-818.2920071271168
103,217.18125555268156,-9,-117.86312213895988
104,249.4894642295443,9,-87.26833481174117
105,195.46120550694937,-149,-511.74259816123595
106,186.662677990837,-113,-397.50764770319574
107,186.0,-218,-33.600000000000016
108,191.74626191999434,-6,-108.38437881283568
109,222.063880103346,-99,-404.7488667048619
110,218.3595229091703,-154,-151.71455294172344
111,219.3982202587665,-245,-28.299999999999997
112,210.0,-252,-74.49999999999997
113,191.8632748256556,-31,-217.78085829226526
114,185.0,-338,-64.62973731230053
115,211.0,-11,-134.29999999999995
116,184.16737345631765,-60,-263.27040813716326
117,207.23265705482993,15,-702.7788273999236
118,213.8804575200662,-104,-226.02255574565243
119,257.78493229793344,12,-602.6391980129581
120,203.0,-56,-159.9973672688549
121,206.5255134931252,-21,-36.97227015600193
122,239.84252628354972,-4,-40.40000000000001
123,261.56255036285063,-8,-102.30928008059722
124,196.0,-74,-459.05547956721887
125,237.2495800844936,-11,-53.0
126,231.48358003540932,2,-50.438204263768
127,209.38666443007986,-9,-76.22314593263371
128,221.02446971515994,12,-88.00088987061672
129,227.290815565576,0,-357.2750112774808
130,204.2620968266859,-112,-76.69603521781238
131,191.60818135958823,3,-35.26895158665706
132,235.0,-29,-109.39999999999998
133,244.06670799927394,6,-41.81437924641101
134,237.85786437626905,14,-127.45657471972234
135,257.06687563345895,-1,-6.200000000000003
136,245.76687846100447,-7,-338.67949766041323
137,227.0,-380,-363.00359158377256
138,217.59046356478186,-187,-81.34859780607228
139,217.14213562373095,1,-14.089643850368638
140,11.768943743823392,-6,-60.7
141,223.32521423816365,-66,-30.395496141975613
142,204.0,12,-23.56757678782681
143,219.0,3,-47.44248043916673
144,219.0,-125,-59.10841799581435
145,228.38514949015786,-17,-49.543617639800146
146,213.31655865013977,-4,-98.1011235586967
147,235.0,-8,-77.3318549971263
148,223.35122939066466,-3,-55.21320343559643
149,235.0,-23,-39.100000000000016
150,199.0,-27,-29.757254683475864
151,209.68955177729032,-9,-26.900000000000013
152,230.0,-10,-74.66972949241409
153,175.0,-103,-56.40824504465196
154,228.76220271628182,18,-329.2318689137844
155,230.771241507178,-9,-35.4815449631149
156,240.2620968266859,-3,-64.73263235797292
157,226.0,5,-46.60000000000001
158,237.0,-1,-77.4809948947396
159,211.0,5,-40.05851262719866
160,211.0,7,-47.7
161,197.0,14,-85.75652620609303
162,224.0,-50,-315.5428746589647
163,259.519326683168,-3,-185.4569912846514
164,244.21854415126694,9,-20.500000000000007
165,231.1175692783906,-163,-45.61895908128271
166,235.0,-24,-58.59999999999998
167,224.0,-36,-601.6984999559139
168,235.0,-1,-268.3411847278982
169,269.82014161700613,15,-36.808245044652
170,229.0,15,-22.031637412827806
171,253.68205360243914,-11,-25.008245044651993
172,249.21854415126694,1,-49.534855739325366
173,254.21854415126694,-98,-40.11852230418076
174,232.0,-22,-15.932632357972942
175,235.0,-17,-63.2485978060723
176,225.9522203386975,-37,-31.948597806072307
177,216.90801323691116,8,-216.195098653892
178,224.0,14,-85.9083366193385
179,180.0,-3,-210.49056175950608
180,203.0,16,-30.071490071420733
181,223.36812719689036,14,-49.400302644903334
182,222.6482771480501,17,-4.334855739325388
183,247.0904999935928,16,-16.6
184,220.43704460836148,-1,-63.280162072484345
185,207.835121610524,3,-46.55490854341113
186,221.35687409643202,14,-23.454581652950985
187,230.0,15,-102.00857728472519
188,237.3631022416475,15,-11.98341190696052
189,211.0,15,-35.69603521781242
190,227.0,15,-58.69603521781241
191,214.0,15,-100.49443330469441
192,235.0,8,-169.0586587530068
193,219.0,-35,-76.81223485757994
194,203.0,-19,-159.00202872226697
195,198.0,17,-29.822359359558497
